SOURCE,DESCRIPTOR_1,NAME,DATE,SUB_NAME,PARAM_1,PARAM_2,PARAM_3,PARAM_4,PARAM_5,PARAM_6,PARAM_7,PARAM_8,PARAM_9,PARAM_10
DB1,C,A614,2/21/2014,4095.939543,10.02,10.03,0.0500000000,0.4600000000,0.0400,0.0400,0.0500,0.46,Low Value,0.3875
DB1,C,A614,2/21/2014,4095.939543,10.02,10.03,0.0500000000,0.4600000000,0.0400,0.0400,0.05,0.46,Low Value,0.3875
DB1,C,A614,2/21/2014,4095.939543,10.02,10.03,0.0500000000,0.4600000000,0.0400,Low Value,0.0500,0.46,Low Value,0.3875
DB1,C,A614,2/21/2014,4095.939543,10.02,10.03,0.0500000000,0.4600000000,0.0400,Low Value,0.05,0.46,Low Value,0.3875
DB1,C,A614,2/21/2014,4095.939543,10.02,10.03,0.0500000000,0.4600000000,Low Value,0.0400,0.0500,0.46,Low Value,0.3875
DB1,C,A614,2/21/2014,4095.939543,10.02,10.03,0.0500000000,0.4600000000,Low Value,0.0400,0.05,0.46,Low Value,0.3875
DB1,C,A614,2/21/2014,4095.939543,10.02,10.03,0.0500000000,0.4600000000,Low Value,Low Value,0.0500,0.46,Low Value,0.3875
DB1,C,A614,2/21/2014,4095.939543,10.02,10.03,0.0500000000,0.4600000000,Low Value,Low Value,0.05,0.46,Low Value,0.3875
DB1,O,A45,11/10/2013,3312.024765,10.0935,10.016,0.0670000000,0.3980000000,0.0000,0.0160,0.0670,0.0000,0.0000,0.375
DB1,O,A45,11/10/2013,3312.024765,10.0935,10.016,0.0670000000,0.3980000000,0.0000,0.0160,0.0670,0.0000,,0.375
DB1,O,A45,11/10/2013,3312.024765,10.0935,10.016,0.0670000000,0.3980000000,0.0000,0.0160,0.0670,0.40,0.0000,0.375
DB1,O,A45,11/10/2013,3312.024765,10.0935,10.016,0.0670000000,0.3980000000,0.0000,0.0160,0.0670,0.40,,0.375
DB1,C,A617,2/23/2014,4081.809542,10.08,10.21,0.0500000000,0.4700000000,0.0400,0.0400,0.0500,0.47,Low Value,0.375
DB1,C,A617,2/23/2014,4081.809542,10.08,10.21,0.0500000000,0.4700000000,0.0400,0.0400,0.05,0.47,Low Value,0.375
DB1,C,A617,2/23/2014,4081.809542,10.08,10.21,0.0500000000,0.4700000000,0.0400,Low Value,0.0500,0.47,Low Value,0.375
DB1,C,A617,2/23/2014,4081.809542,10.08,10.21,0.0500000000,0.4700000000,0.0400,Low Value,0.05,0.47,Low Value,0.375
DB1,C,A617,2/23/2014,4081.809542,10.08,10.21,0.0500000000,0.4700000000,Low Value,0.0400,0.0500,0.47,Low Value,0.375
DB1,C,A617,2/23/2014,4081.809542,10.08,10.21,0.0500000000,0.4700000000,Low Value,0.0400,0.05,0.47,Low Value,0.375
DB1,C,A617,2/23/2014,4081.809542,10.08,10.21,0.0500000000,0.4700000000,Low Value,Low Value,0.0500,0.47,Low Value,0.375
DB1,C,A617,2/23/2014,4081.809542,10.08,10.21,0.0500000000,0.4700000000,Low Value,Low Value,0.05,0.47,Low Value,0.375
DB2,E,A460,11/28/2016,19421.68394,10.08,10.09,0.07000000,0.57000000,Low Value,Low Value,0.07,0.57,Low Value,0.3625
DB1,V,A535,2/23/2014,4612.858448,10.22,10.12,,0.4000000000,0.0400,0.0400,0.0400,0.40,Low Value,0.3625
DB1,,A535,2/23/2014,4051.573087,10.22,10.12,,0.4000000000,0.0400,0.0400,0.0400,0.40,Low Value,0.3625
DB1,,A535,2/23/2014,4051.573087,10.22,10.12,,0.4000000000,0.0400,0.0400,Low Value,0.40,Low Value,0.3625
DB1,,A535,2/23/2014,4051.573087,10.22,10.12,,0.4000000000,0.0400,Low Value,0.0400,0.40,Low Value,0.3625
DB1,,A535,2/23/2014,4051.573087,10.22,10.12,,0.4000000000,0.0400,Low Value,Low Value,0.40,Low Value,0.3625
DB1,,A535,2/23/2014,4051.573087,10.22,10.12,,0.4000000000,Low Value,0.0400,0.0400,0.40,Low Value,0.3625
DB1,,A535,2/23/2014,4051.573087,10.22,10.12,,0.4000000000,Low Value,0.0400,Low Value,0.40,Low Value,0.3625
DB1,,A535,2/23/2014,4051.573087,10.22,10.12,,0.4000000000,Low Value,Low Value,0.0400,0.40,Low Value,0.3625
DB1,,A535,2/23/2014,4051.573087,10.22,10.12,,0.4000000000,Low Value,Low Value,Low Value,0.40,Low Value,0.3625
DB1,C,A615,2/21/2014,4008.560664,10.06,10.06,,0.4600000000,0.0400,0.0400,0.0400,0.46,Low Value,0.3625
DB1,C,A615,2/21/2014,4008.560664,10.06,10.06,,0.4600000000,0.0400,0.0400,Low Value,0.46,Low Value,0.3625
