PID,Value,Year Built,Size
502550008,925623,1850,789
502550010,861750,1850,752
502550012,895373,1850,792
502550014,774058,1850,720
502550016,2279064,1850,1482
502551000,0,1999,0
502551002,461863,1900,468
502551004,779328,1900,772
502551006,8098198,1900,3857
502551008,657274,1900,494
502551010,1491937,1900,1045
502551012,1919861,1900,1386
502552000,3121421,1899,7695
502553000,0,1999,0
502553002,436567,1890,355
502553004,2636054,1890,2300
502553006,939747,1890,909
502553008,550399,1890,474
502553010,1149914,1890,951
502553012,620490,1890,517
502553014,2062678,1890,1416
502554000,0,1899,0
502554002,1505428,1899,1511
502554004,4915409,1899,3453
502554006,3863304,1899,2827
502555000,2823455,1900,2016
502556000,0,2003,8250
502557000,0,1999,0
502557002,416239,1940,724
502557006,1032288,1940,1019
502557008,541229,1940,458
502557010,759302,1940,679
502557012,785757,1940,743
502557014,1118399,1940,1019
502557016,559569,1940,450
502557018,751291,1940,679
502557020,810842,1940,743
502557022,1055476,1940,1019
502557024,566314,1940,458
502557026,735798,1940,679
502557028,802621,1940,743
502557030,1055476,1940,1019
502557032,566314,1940,458
502557034,751291,1940,679
502557036,804940,1940,743
502557038,1283350,1940,1019
502557042,1167410,1940,1137
502557044,821593,1940,743
502557046,221340,,
502558000,5620982,1899,14724
502559000,0,1999,0
502559002,2382356,1850,2115
502559004,2630468,1850,2163
502559006,1625057,1850,1425
502559008,1642448,1850,1439
502559010,2131294,1850,1635
502560000,0,1999,0
502560002,504339,1880,497
502560004,517725,1880,447
100001000,570425,1900,3353
100002000,628289,1920,3299
100003000,571795,1905,3392
100004000,546288,1900,3108
100005000,556934,1900,3700
100006000,670871,1900,6278
100007000,721990,1900,6432
100008000,741700,1900,6048
100009000,618909,1900,4339
100010000,290482,1900,4659
100011000,663704,1900,4734
100012000,620701,1900,4575
100013000,667077,1900,4403
100014000,689000,1900,5081
100015000,592559,1900,3592
100016000,580965,1899,4617
100017000,503812,1900,4146
100018000,674665,1900,5467
100019000,990549,1900,5814
100020000,692900,1900,5139
100021000,247163,1910,1836
100022000,642413,1900,3777
100023000,633349,1900,3972
100024000,555036,1900,4389
100025000,630819,1910,4623
100026000,423919,1900,2382
100027000,396093,1900,3076
100028000,550294,1900,3618
100029000,734638,1910,4717
100030000,697221,1900,4637
100031000,762885,1900,5765
100032000,553245,1900,3111
100033000,391561,1920,2079
100034000,474827,1900,3346
100035000,531005,1900,3878
100036000,693848,1900,3468
100037000,648242,1880,2543
100037000,648242,1900,3296
100038000,699645,1900,3684
100039000,589186,1900,3714
100040000,835295,1899,6004
100041000,413168,1900,2167
100042000,552191,1900,3781
100043000,678460,1899,4304
100044000,595405,1900,3910
100045000,785968,1900,4328
100046000,530689,1900,3564
100047000,657169,1900,3214
100048000,589291,1900,2948
100049000,678987,1900,3056
100050000,545024,1900,3214
100051000,543337,1900,2934
100052000,319889,1900,2478
100053000,360363,1900,2730
100054000,505288,1900,2964
100055000,569898,1900,2972
100056000,1837500,1989,3750
100057000,842989,1920,5552
100058000,879247,1910,5372
100059000,496645,1910,2779
100060000,382918,1910,2779
100061000,976009,1899,4232
100062000,395988,1920,3156
100063000,624179,1910,3613
100064000,569792,1910,4010
100065000,666234,1910,4636
100066000,770053,1910,4235
100067000,588343,1910,4238
100068000,742543,1910,5241
100069000,590346,1910,4934
100070000,560728,1910,4543
100071000,568212,1910,4151
100072000,650213,1910,4128
100073000,710712,1910,6010
100074000,497277,1910,4821
100075000,702175,1910,4540
100076000,664758,1910,4831
100077000,251662,1899,6228
100079000,2057750,1997,2031
100080000,1138548,1899,5850
100081000,1027198,1915,6480
100082000,994703,1899,5008
100083000,867605,1899,4232
100084000,702738,1899,3580
100085000,585000,1914,1938
100086000,1290000,1899,4800
100087000,297500,1899,1496
100088000,476484,1899,2026
100089000,742016,1899,3952
100090000,655000,1899,1776
100091000,4568750,1899,13406
100092000,1030000,1930,5904
100093000,664639,1899,3024
100094000,502500,1899,3168
100095000,1039027,1899,4512
100096000,691866,1900,3479
100097000,654640,1910,4272
100098000,1034338,1910,7304
100099000,585813,1905,2994
100100000,689316,1900,5289
100101000,641991,1905,4238
100102000,824544,1900,5864
100103000,516249,1905,4319
100104000,726628,1905,4958
100105000,973955,1900,4544
100106000,699434,1910,5000
100107000,563363,1900,5200
100108000,685732,1900,5310
100109000,838879,1900,4821
100110000,523627,1905,2591
100111000,560306,1930,2852
100112000,783986,1905,3506
100113000,437726,1920,2384
100115000,404736,1905,2037
100118000,429505,1905,2781
100120000,0,1910,18144
100120001,698750,1925,2256
100121000,553750,1930,1632
100122000,679529,1910,3888
100123000,400309,1900,4912
100124000,754243,1900,5092
100125000,443840,1900,3984
100126000,628079,1900,4372
100127000,564628,1900,5200
100128000,748445,1900,5912
100129000,751818,1910,6295
100130000,728103,1900,5800
100132000,557777,1899,5360
100133000,619752,1930,5415
100134000,858272,2007,4354
100135000,634403,1900,3501
100136000,620595,1900,5028
100137000,426238,1860,1806
100138000,520044,1905,2354
100139000,692267,1900,2934
100140000,667498,1900,5308
100141000,546394,1900,5285
100142000,621439,1900,5264
100143000,643045,1900,5264
100144000,715034,1900,5032
100145000,0,1900,0
100145002,311141,2015,606
100145004,322946,2015,654
100145006,339915,2015,723
100146000,625022,1900,3580
100147000,593718,1899,3604
100148000,571584,1900,2943
100149000,979588,1890,6615
100150000,828128,1899,5440
100151000,1712223,2015,8888
100152000,681727,1900,3987
100153000,0,1899,0
100153002,153041,1899,460
100153004,227348,1899,560
100153006,235569,1899,630
100153008,304185,1899,720
100154000,0,1910,0
100154002,178442,1910,346
100154004,247269,1910,476
100154006,256966,1910,573
100154008,271616,1910,620
100155000,0,1999,0
100155002,262341,2014,527
100155004,316727,2013,603
100155006,314935,2013,647
100156000,754875,1890,3637
100157000,605945,1890,5173
100158000,724098,1900,5187
100159000,598145,1900,3388
100160000,594561,1900,3388
100161000,579911,1900,3486
100162000,565682,1900,3486
100163000,356252,1900,2466
100164000,343288,1900,1848
100165000,492745,1940,3246
100166000,624284,1900,4452
100167000,649580,1900,4088
100168000,686681,1900,3856
100169000,800618,1900,4581
100170000,643256,1900,4518
100684000,845941,1910,6114
100686000,355514,1910,2339
100687000,751081,1910,6123
100688000,832660,1910,5479
100689000,708288,2006,3971
100690000,475460,1910,4668
100691000,531111,2007,5287
100692000,581070,1910,6384
100693000,781014,1910,4844
100694000,457647,1894,4277
100694001,519728,1920,4192
100695000,461863,1910,2534
100696000,615431,1910,3618
100697000,596459,1910,3271
100698000,665917,1910,5638
100699000,805256,1899,5206
100700000,497699,1910,2131
100701000,460598,1910,2735
100703000,339177,1900,2441
100704000,578119,1910,3636
100705000,317043,1910,2200
100706000,350139,1910,2198
100707000,436883,1975,3530
100708000,360574,1847,2354
100709000,405896,1910,2544
100710000,613006,1910,3408
100711000,319362,1910,1262
100712000,339493,1910,1752
100713000,325581,1910,2240
100714000,245898,1910,2164
