NAME,SUB_NAME,MEASURE
A614,4095.939543,1.508783051
A45,3312.024765,0.861654677
A617,4081.809542,1.339856108
A460,19421.68394,1.535570157
A535,4612.858448,1.210636451
A535,4051.573087,1.237111277
A615,4008.560664,1.447697989
A632,17144.77183,1.374277051
A171,3790.27726,1.19406773
A185,4088.563333,1.301125246
A368,17172.36573,1.07541474
A375,17183.3345,1.113453691
A537,4612.896667,1.256059364
A537,4051.633145,1.289708585
A538,4693.98584,0.902878473
A538,4046.686552,1.441745366
A539,17445.87516,1.343773005
A539,17145.05574,1.269442502
A540,17223.54058,1.273579285
A540,17136.8005,1.327957237
A597,3668.850975,1.521105725
A598,4345.41487,1.549380291
A599,3652.47153,1.511099999
A602,3693.589396,1.713776768
A603,3685.394214,1.619233475
A605,3685.405134,1.494706319
A613,4029.990438,1.396348949
A616,4030.787571,1.459929933
A618,4029.984978,1.319914819
A897,17136.52205,2.114544988
A902,17222.02275,1.400954703
A1110,4291.493737,1.069386192
A173,3828.594242,1.355458743
A174,3845.945534,1.324045185
A346,16860.56662,1.009155243
A356,17046.87734,1.191957476
A357,17043.4595,1.252050517
A358,17043.49226,1.324042237
A359,17004.80947,1.127652298
A365,17366.17824,1.101900272
A366,17172.38211,1.044398125
A367,17193.36418,1.043151051
A369,17199.89412,0.997001311
A373,17171.86343,1.135438551
A377,17162.10674,1.12336398
A378,17554.92405,1.166058876
A385,17410.67028,1.248398351
A386,17411.28724,1.32608155
A387,17301.27196,1.182078021
A462,19452.19884,1.983787867
A478,19385.93853,1.140067049
A536,4612.847529,0.873768468
A536,4046.681092,1.179043309
A596,3833.3825,1.432430581
A600,3668.250395,1.629951071
A601,3668.659881,1.758376273
A604,3680.240149,1.673375867
A606,3717.055681,1.505892563
A609,3845.732601,1.538629835
A611,4030.088715,1.398043591
A612,3840.103532,1.455818413
A63,18348.30069,1.422194807
A630,4936.980366,1.475891646
A65,18368.57298,1.959317481
A892,16995.14014,1.511133803
A894,17079.25951,1.403779626
A896,17095.68263,1.604651543
A899,17110.75172,1.47021156
A903,17218.43019,1.423727939
A986,19414.99566,2.340689512
A988,19415.06118,2.340652865
A1108,4291.482818,1.072147879
A1109,4291.346322,1.060579939
A163,3693.594856,1.331962968
A164,3728.488534,1.24091354
A172,3791.320085,1.336279231
A178,3865.737363,1.223532378
A187,4078.195145,1.336817443
A347,17003.48819,1.043540915
A348,16990.29728,1.037580395
A351,16990.66855,1.173800155
